District,Working LHWs,LHW Submitted Report This Month,Urban LHWs,Urban Pop Covered,Rural LHWs,Rural Pop Covered,District Population,Total Pop Covered
Badin,1054,1036,188,178938,848,810901,1908804,989839
Dadu,1105,1099,261,218825,838,740023,1644804,958848
Hyderabad,1030,1027,683,745823,344,375663,2621931,1121486
Sujawal,203,198,23,22984,175,171451,836941,194435
Jamshoro,464,461,101,105711,360,358102,1075807,463813
Tando Allahyar,525,519,4,3723,515,521292,614050,525015
Thatta,374,374,118,118046,256,249613,763756,367659
Matiari,441,437,105,118173,332,327294,830981,445467
Tando Muhammad Khan,399,395,21,20165,374,376901,508698,397066
Karachi West,659,655,465,524737,190,216343,3450458,741080
Karachi East,240,241,236,256304,5,5535,2002805,261839
Korangi,446,445,444,498572,0,0,2530224,498572
Karachi Central,443,435,381,412037,54,56545,2986773,468582
Karachi South,217,214,203,222611,11,11888,1816951,234499
Malir,654,647,196,211598,449,439535,1758965,651133
Jacobabad,600,578,169,134613,409,294064,925265,428677
Larkana,975,968,218,197391,750,602983,1593295,800374
Shikarpur,787,771,277,230504,494,453861,1368518,684365
Kamber,821,793,288,271222,505,470252,1438417,741474
Kashmore,496,491,193,170151,297,246985,852622,417136
Khairpur,1575,1529,127,113033,1402,1319552,2519813,1432585
Naushero Feroze,1317,1302,256,238657,1046,953574,1720942,1192231
Shaheed Benazirabad,1187,1187,174,187475,1012,1006004,1719019,1193479
Sukkur,1124,1053,171,150465,882,738259,1228126,888724
Ghotki,703,700,128,140446,572,555381,1783702,695827
Mirpurkhas,887,873,214,200881,659,615023,1571142,815904
Sanghar,1107,1107,290,294498,817,799827,2155419,1094325
Tharparkar,634,632,0,0,632,692523,1649661,692523
Umerkot,519,520,172,193458,348,386276,1155714,579734
Badin,1051,1041,188,178857,853,817290,1908804,996147
Dadu,1105,1096,260,217856,836,734535,1644804,952391
Hyderabad,1029,1009,673,735642,336,366547,2621931,1102189
Sujawal,203,203,23,22957,180,173891,836941,196848
Jamshoro,464,459,101,105340,358,356143,1075807,461483
Tando Allahyar,523,519,4,3898,515,516802,614050,520700
Thatta,374,373,118,117152,255,241775,763756,358927
Matiari,441,440,107,118946,333,326662,830981,445608
Tando Muhammad Khan,399,394,21,20175,373,375993,508698,396168
Karachi West,652,647,457,515458,190,215703,3450458,731161
Karachi East,238,238,234,253668,4,4377,2002805,258045
Korangi,445,445,444,501794,0,0,2530224,501794
Karachi Central,443,430,376,404266,54,56629,2986773,460895
Karachi South,217,209,198,215738,11,11819,1816951,227557
Malir,654,649,197,213582,450,441276,1758965,654858
Jacobabad,600,581,171,133920,410,295496,925265,429416
Larkana,975,967,217,196463,750,603867,1593295,800330
Shikarpur,785,778,281,234160,497,457611,1368518,691771
Kamber,821,790,285,268766,505,471759,1438417,740525
Kashmore,496,479,188,165627,290,241256,852622,406883
Khairpur,1575,1524,131,115990,1393,1309366,2519813,1425356
Naushero Feroze,1317,1296,251,233256,1045,949993,1720942,1183249
Shaheed Benazirabad,1186,1168,174,187606,993,996792,1719019,1184398
Sukkur,1122,1056,178,157080,878,733637,1228126,890717
Ghotki,702,703,128,140591,575,557773,1783702,698364
Mirpurkhas,886,866,206,193382,660,613422,1571142,806804
Sanghar,1107,1107,290,294226,817,800029,2155419,1094255
Tharparkar,634,632,0,0,631,690994,1649661,690994
Umerkot,518,519,172,192741,347,383151,1155714,575892
Badin,1051,1034,188,179201,846,810923,1908804,990124
Dadu,1103,1096,261,217010,835,730306,1644804,947316
Hyderabad,1028,1027,683,746368,344,375986,2621931,1122354
Sujawal,203,203,23,22714,180,173513,836941,196227
Jamshoro,464,458,101,105484,357,355033,1075807,460517
Tando Allahyar,523,520,4,3929,516,516976,614050,520905
Thatta,374,374,118,117440,256,242985,763756,360425
Matiari,441,440,107,119019,333,327623,830981,446642
Tando Muhammad Khan,398,389,21,20099,368,372423,508698,392522
Karachi West,647,582,425,483933,157,177556,3450458,661489
Karachi East,237,237,233,251476,4,4422,2002805,255898
Korangi,444,445,444,502580,0,0,2530224,502580
Karachi Central,441,425,371,398545,54,56792,2986773,455337
Karachi South,213,208,197,215517,11,11822,1816951,227339
Malir,653,646,197,214272,447,437392,1758965,651664
Jacobabad,599,551,166,130660,385,275400,925265,406060
Larkana,974,963,215,194613,748,604274,1593295,798887
Shikarpur,782,777,283,235616,494,454094,1368518,689710
Kamber,821,788,277,261396,511,479031,1438417,740427
Kashmore,495,465,186,164066,278,231016,852622,395082
Khairpur,1573,1521,122,108046,1399,1316266,2519813,1424312
Naushero Feroze,1317,1300,254,235945,1046,951723,1720942,1187668
Shaheed Benazirabad,1185,1183,173,186182,1009,1008984,1719019,1195166
Sukkur,1119,1084,232,204704,852,712328,1228126,917032
Ghotki,702,702,127,139523,575,557307,1783702,696830
Mirpurkhas,882,874,215,201174,659,611092,1571142,812266
Sanghar,1107,1106,290,293759,816,796574,2155419,1090333
Tharparkar,634,634,0,0,633,693269,1649661,693269
Umerkot,517,517,171,192763,346,382135,1155714,574898
Badin,1051,1034,187,178201,847,812189,1908804,990390
Dadu,1103,1095,262,218290,833,728247,1644804,946537
Hyderabad,1028,1019,678,740334,340,370829,2621931,1111163
Sujawal,202,192,22,21773,170,164604,836941,186377
Jamshoro,464,459,100,104173,359,357180,1075807,461353
Tando Allahyar,523,520,4,3923,516,517109,614050,521032
Thatta,373,372,117,117112,255,240287,763756,357399
Matiari,441,439,107,119244,332,327848,830981,447092
Tando Muhammad Khan,399,398,21,19832,377,382317,508698,402149
Karachi West,647,639,454,511010,185,209614,3450458,720624
Karachi East,237,236,233,252974,3,3297,2002805,256271
Korangi,444,445,444,503983,0,0,2530224,503983
Karachi Central,441,427,373,401432,54,56491,2986773,457923
Karachi South,212,209,198,216712,11,11691,1816951,228403
Malir,652,641,195,212592,445,434227,1758965,646819
Jacobabad,597,584,174,136997,410,296564,925265,433561
Larkana,973,967,220,199131,747,600871,1593295,800002
Shikarpur,782,683,247,204781,436,395255,1368518,600036
Kamber,821,802,287,270533,515,483978,1438417,754511
Kashmore,494,443,173,153602,269,224402,852622,378004
Khairpur,1570,1523,129,113402,1394,1310636,2519813,1424038
